L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.1	L0006.SH.CAS8.Root.ITS1.3	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.4	L0006.SH.GE.Soil.ITS1.1	L0006.SH.SD.Endo.ITS1.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.CAS9.Soil.ITS1.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.SD.Endo.ITS1.4	L0006.SH.CAS8.Soil.ITS1.1	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Endo.ITS1.1	L0006.SH.GE.Soil.ITS1.4	L0006.SH.CAS9.Soil.ITS1.1	L0006.SH.SD.Soil.ITS1.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.2	L0006.SH.GE.Endo.ITS1.1	L0006.SH.SD.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.1	L0006.SH.CAS9.Root.ITS1.2	L0006.SH.SD.Epi.ITS1.3	L0006.SH.CAS9.Soil.ITS1.2	L0006.SH.GE.Soil.ITS1.3	L0006.SH.PU.Soil.ITS1.4	L0006.SH.CAS8.Soil.ITS1.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.CAS9.Root.ITS1.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.GE.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.PU.Soil.ITS1.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.CAS8.Soil.ITS1.2	L0006.SH.CAS9.Root.ITS1.3	L0006.SH.PU.Epi.ITS1.2	L0006.SH.GE.Epi.ITS1.1	L0006.SH.CAS8.Root.ITS1.2	L0006.SH.CAS8.Root.ITS1.1
OTU_174	0	25	54	3	0	1	126	451	85	3	0	23	3	3	2	53	17	0	13	3	0	0	18	41	7	0	8	723	0	7	0	0	1	0	60	0	29	276	124	1	6	70	0	0	24	0	0	0
OTU_148	0	0	0	65	0	0	0	0	0	0	0	15	0	24	0	0	12	0	1	1308	0	0	139	0	614	0	0	0	0	3	0	0	0	0	0	0	0	0	0	58	0	431	0	0	0	0	0	0
OTU_368	0	25	0	0	38	26	83	0	0	9	0	0	12	0	7	0	0	14	1	0	3	11	1	0	1	0	0	4	0	2	8	1	0	0	7	0	21	0	368	0	22	0	0	0	118	0	56	0
OTU_704	0	7	0	0	0	33	2	0	0	2	24	0	11	1	8	0	0	11	0	0	7	15	0	0	0	0	0	0	0	2	4	14	7	306	0	0	1	0	2	0	1	0	4	0	0	3	0	0
OTU_321	0	2	0	301	0	25	4	0	0	4	66	1	41	108	9	0	70	0	6	5	26	4	471	0	42	0	52	0	0	32	6	28	223	8	20	0	4	0	0	45	28	0	0	0	2	0	0	0
OTU_213	0	4	42	0	0	3	2	123	138	7	0	62	3	1	0	10	663	0	4	0	0	0	88	23	4	0	136	320	0	16	0	0	2	0	28	0	39	3	39	4	3	39	0	0	35	0	0	0
OTU_1153	0	0	0	2	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	43	2	0	52	0	0	0	0	0	0	0	0	95	0	0	0	0	0
OTU_347	5	9	0	3	0	76	1	1	0	0	82	0	59	2	109	0	0	16	0	0	115	84	1	0	8	0	0	0	0	0	77	99	106	13	2	0	90	0	0	0	62	0	50	0	0	0	0	0
OTU_93	0	0	0	0	0	0	0	0	0	0	0	537	29	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	4883	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
OTU_1015	0	6	0	0	0	20	0	0	0	0	30	0	4	2	7	0	0	11	0	0	12	76	4	0	0	0	0	0	0	0	12	7	14	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
