Condition	Freshweight	Relative_to_MF	Normalized_to_bacteria	Experiment
BF	0.0072	0.524017467	0.331708388	BIO2
BF-Comm	0.0452	3.289665211	2.226048821	BIO2
BF-Comm	0.0205	1.491994178	1.009601788	BIO2
BF-Comm	0.0133	0.96797671	0.655009941	BIO2
BF-Comm	0.0176	1.280931587	0.866780072	BIO2
BF-Comm	0.0228	1.659388646	1.122874184	BIO2
BF-Comm	0.0043	0.312954876	0.211770131	BIO2
BF-Comm	0.0155	1.128093159	0.76335745	BIO2
BF-Comm	0.0323	2.350800582	1.590738428	BIO2
BF-Comm	0.0148	1.077147016	0.728883242	BIO2
BF-Comm	0.0199	1.448326055	0.980052468	BIO2
BF-Comm	0.0345	2.510917031	1.699085937	BIO2
BF-Comm	0.012	0.873362445	0.590986413	BIO2
BF-Comm	0.0153	1.113537118	0.753507676	BIO2
BF-Comm	0.0459	3.340611354	2.260523029	BIO2
BF-Comm	0.0084	0.611353712	0.413690489	BIO2
BF-Comm	0.0406	2.954876274	1.99950403	BIO2
BF-Comm	0.0127	0.924308588	0.62546062	BIO2
BF-Comm	0.0306	2.227074236	1.507015352	BIO2
BF-Comm	0.0395	2.874818049	1.945330275	BIO2
BF-Comm	0.0342	2.489082969	1.684311276	BIO2
BF-Pseudo	0.0362	2.634643377	1.669292112	BIO2
BF-Pseudo	0.0201	1.462882096	0.926872139	BIO2
BF-Pseudo	0.0191	1.390101892	0.880759098	BIO2
BF-Pseudo	0.0272	1.979621543	1.254274736	BIO2
BF-Pseudo	0.0194	1.411935953	0.89459301	BIO2
BF-Pseudo	0.0184	1.33915575	0.848479968	BIO2
BF-Pseudo	0.028	2.037845706	1.291165169	BIO2
BF-Pseudo	0.0308	2.241630277	1.420281686	BIO2
BF-Pseudo	0.0181	1.317321689	0.834646056	BIO2
BF-Pseudo	0.0116	0.844250364	0.534911284	BIO2
BF-Pseudo	0.0077	0.560407569	0.355070422	BIO2
